_id,precio_venta,area,habitaciones,banos,administracion,parqueaderos,sector,estrato,antiguedad,estado,precio_arriendo,vigilancia,localidad,is_cerca_estacion_tm,is_cerca_parque
66d86cedceda690e8550c6f3,1290000000.0,150.0,3,3,1000000,3,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,8000000.0,1,CHAPINERO,0,0
66d86cedceda690e8550c708,1400000.0,33.0,2,1,,0,,3,MAS DE 20 ANOS,USADO,1400000.0,0,KENNEDY,0,1
66d86cedceda690e8550c71d,850000000.0,111.0,2,2,897000,2,CHICO,5,ENTRE 5 Y 10 ANOS,USADO,5500000.0,0,CHAPINERO,1,1
66d86cefceda690e8550c78f,850000000.0,115.0,2,3,585000,2,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,4500000.0,0,CHAPINERO,0,1
66d86cefceda690e8550c7c4,895000000.0,140.0,3,3,1187000,1,CHICO,6,MAS DE 20 ANOS,USADO,7000000.0,1,CHAPINERO,0,1
66d86cefceda690e8550c7dc,19800000.0,374.0,4,5,2254000,4,SANTA BARBARA,6,MAS DE 20 ANOS,USADO,19800000.0,1,USAQUEN,0,0
66d86cf1ceda690e8550c84e,1600000000.0,146.46,3,4,1400000,3,CHICO,6,MAS DE 20 ANOS,USADO,9900000.0,0,CHAPINERO,0,1
66d86cf1ceda690e8550c884,1380000000.0,172.0,3,5,1164000,2,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,8000000.0,1,CHAPINERO,1,0
66d86cf1ceda690e8550c898,1200000000.0,129.0,2,3,740000,2,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,6200000.0,0,CHAPINERO,0,0
66d86cf2ceda690e8550c8a3,450000000.0,69.0,3,2,400000,1,CHICO,5,ENTRE 10 Y 20 ANOS,USADO,2350000.0,1,CHAPINERO,0,0
66d86cf2ceda690e8550c8a5,850000000.0,178.0,3,2,800000,2,SANTA BARBARA,6,ENTRE 5 Y 10 ANOS,USADO,5000000.0,0,USAQUEN,0,0
66d86cf2ceda690e8550c8ce,1600000000.0,150.0,3,3,1000000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,8000000.0,1,CHAPINERO,0,1
66d86cf2ceda690e8550c8ec,1190000000.0,152.0,2,3,922000,2,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,4950000.0,0,CHAPINERO,0,1
66d86cf3ceda690e8550c901,2380000000.0,223.0,3,5,1200000,3,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,10800000.0,1,CHAPINERO,0,1
66d86cf3ceda690e8550c910,7300000000.0,320.0,3,5,2400000,4,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,58460000.0,0,CHAPINERO,0,0
66d86cf4ceda690e8550c980,9000000.0,215.0,4,4,1550000,2,CHAPINERO ALTO,6,MAS DE 20 ANOS,USADO,14000000.0,0,CHAPINERO,0,0
66d86cf4ceda690e8550c994,1833000000.0,140.0,2,1,450000,1,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,8550000.0,0,CHAPINERO,0,1
66d86cf4ceda690e8550c9a7,2400000000.0,220.0,3,4,1800000,3,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,10000000.0,0,CHAPINERO,0,1
66d86cf5ceda690e8550c9bf,690000000.0,140.0,3,3,670000,2,CERROS DE SUBA,6,MAS DE 20 ANOS,USADO,3800000.0,0,SUBA,1,0
66d86cf5ceda690e8550c9c2,1500000000.0,200.0,3,4,1000000,2,SANTA BARBARA,6,ENTRE 10 Y 20 ANOS,USADO,7500000.0,1,USAQUEN,1,0
66d86cf5ceda690e8550ca00,1600000000.0,148.0,3,4,1200000,2,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,7300000.0,0,CHAPINERO,0,0
66d86cf6ceda690e8550ca56,1150000000.0,143.37,2,3,1700000,2,SANTA BARBARA,6,ENTRE 10 Y 20 ANOS,USADO,6000000.0,0,USAQUEN,0,0
66d86cf7ceda690e8550ca7f,2400000000.0,340.0,4,5,650000,3,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,12000000.0,1,CHAPINERO,0,0
66d86cf8ceda690e8550cb05,3545000.0,88.63,2,2,758000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,4480000.0,1,CHAPINERO,1,0
66d86cf8ceda690e8550cb07,3545000.0,88.63,2,2,758000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,4480000.0,1,CHAPINERO,1,0
66d86cf8ceda690e8550cb0b,3458000.0,87.0,2,2,722000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,4157000.0,1,CHAPINERO,1,0
66d86cf9ceda690e8550cb0e,3458000.0,86.45,2,2,722000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,4157000.0,1,CHAPINERO,1,0
66d86cf9ceda690e8550cb33,1200000000.0,130.0,2,3,740000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,5500000.0,0,CHAPINERO,0,0
66d86cf9ceda690e8550cb4a,4000000000.0,516.0,3,5,4000000,4,SANTA BARBARA,6,MAS DE 20 ANOS,USADO,20000000.0,1,USAQUEN,0,0
66d86cf9ceda690e8550cb5f,8900000.0,231.0,4,4,1850000,3,CEDRITOS,6,REMODELADO,USADO,9800000.0,1,USAQUEN,0,0
66d86cfaceda690e8550cba5,740000000.0,93.0,1,2,720000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,4200000.0,1,CHAPINERO,0,0
66d86cfaceda690e8550cba6,3458000.0,86.45,2,2,722000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,4157000.0,1,CHAPINERO,1,0
66d86cfaceda690e8550cba8,3545000.0,88.65,2,2,758000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,4480000.0,1,CHAPINERO,1,0
66d86cfaceda690e8550cbae,3458000.0,86.0,2,2,722000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,4157000.0,1,CHAPINERO,1,0
66d86cfaceda690e8550cbb2,3458000.0,86.0,2,2,722000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,4157000.0,1,CHAPINERO,1,0
66d86cfaceda690e8550cbb5,3458000.0,87.0,2,2,722000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,4157000.0,1,CHAPINERO,1,0
66d86cfbceda690e8550cbcb,2300000000.0,253.0,4,5,2400000,3,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,13500000.0,0,CHAPINERO,0,0
66d86cfbceda690e8550cbd4,1280000000.0,172.0,3,5,1100000,2,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,6800000.0,1,CHAPINERO,1,0
66d86cfbceda690e8550cbe6,1250000000.0,200.0,2,2,727900,2,CENTRO INTERNACIONAL,4,ENTRE 10 Y 20 ANOS,USADO,4000000.0,0,SANTA FE,1,1
66d86cfcceda690e8550cc1c,2200000.0,40.0,1,1,,0,CHAPINERO ALTO,4,REMODELADO,USADO,2200000.0,0,CHAPINERO,0,0
66d86cfcceda690e8550cc1d,1700000000.0,226.0,3,4,1000000,2,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,8000000.0,1,CHAPINERO,0,0
66d86cfcceda690e8550cc22,750000000.0,125.0,2,3,,1,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,4500000.0,0,CHAPINERO,0,0
66d86cfcceda690e8550cc3f,500000000.0,68.0,1,2,,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,3500000.0,0,CHAPINERO,1,0
66d86cfdceda690e8550ccab,2000000000.0,280.0,5,4,1515000,3,CHAPINERO ALTO,5,ENTRE 10 Y 20 ANOS,USADO,7500000.0,0,CHAPINERO,0,0
66d86cfdceda690e8550ccae,2400000000.0,396.0,4,5,,4,COUNTRY,6,ENTRE 10 Y 20 ANOS,USADO,10000000.0,0,USAQUEN,0,0
66d86cfeceda690e8550ccbe,1850000000.0,192.0,3,3,1200000,3,CHICO,5,ENTRE 0 Y 5 ANOS,USADO,9500000.0,0,CHAPINERO,0,1
66d86cffceda690e8550cd49,205000000.0,57.0,3,2,130000,1,ORQUIDEAS,4,REMODELADO,USADO,1200000.0,1,USAQUEN,0,0
66d86cffceda690e8550cd65,1090000000.0,153.0,3,3,1000000,2,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,5500000.0,1,CHAPINERO,0,0
66d86d00ceda690e8550cdb4,475000000.0,69.0,3,2,400000,1,CHICO,5,ENTRE 10 Y 20 ANOS,USADO,2500000.0,1,CHAPINERO,1,0
66d86d01ceda690e8550cdfe,890000000.0,111.06,3,3,900000,2,SANTA BARBARA,6,ENTRE 10 Y 20 ANOS,USADO,6500000.0,0,USAQUEN,0,0
66d86d02ceda690e8550ce27,130000000.0,1700.0,,,78000,,RAFAEL URIBE URIBE TUNJUELITO,3,ENTRE 0 Y 5 ANOS,USADO,3000000.0,0,TUNJUELITO,1,0
66d86d02ceda690e8550ce32,1900000000.0,320.0,4,3,1200000,3,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,12000000.0,0,CHAPINERO,0,1
66d86d02ceda690e8550ce3a,610000000.0,76.51,2,2,1030000,2,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,3870000.0,0,CHAPINERO,0,0
66d86d02ceda690e8550ce49,1200000000.0,170.0,4,4,1000000,3,CHICO,6,MAS DE 20 ANOS,USADO,7000000.0,1,CHAPINERO,1,1
66d86d02ceda690e8550ce4d,950000000.0,177.0,3,4,1520000,2,SANTA BARBARA,5,MAS DE 20 ANOS,USADO,4700000.0,0,USAQUEN,0,0
66d86d03ceda690e8550cebc,720000000.0,136.0,2,2,,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,5500000.0,0,CHAPINERO,0,1
66d86d04ceda690e8550cec2,460000000.0,74.0,3,2,370000,1,FONTIBON TINTAL,4,ENTRE 10 Y 20 ANOS,USADO,2500000.0,0,FONTIBON,0,0
66d86d04ceda690e8550cee8,1280000000.0,130.0,2,2,1000000,2,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,6000000.0,1,CHAPINERO,0,0
66d86d05ceda690e8550cf49,990000000.0,135.0,3,4,,2,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,6000000.0,0,CHAPINERO,0,0
66d86d06ceda690e8550cf78,1250000000.0,220.0,4,4,970000,3,SANTA BARBARA,6,ENTRE 10 Y 20 ANOS,USADO,5000000.0,1,USAQUEN,1,0
66d86d06ceda690e8550cfad,3077000000.0,290.0,3,4,,3,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,14993000.0,0,CHAPINERO,0,1
66d86d07ceda690e8550cfc5,1800000000.0,302.0,3,5,890000,3,COUNTRY,5,ENTRE 10 Y 20 ANOS,USADO,12000000.0,1,USAQUEN,0,0
66d86d07ceda690e8550cfc7,1340000000.0,126.0,2,2,,3,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,5500000.0,0,CHAPINERO,0,0
66d86d07ceda690e8550cfd7,680000000.0,99.5,2,3,677000,2,SANTA BARBARA,5,ENTRE 10 Y 20 ANOS,USADO,5500000.0,0,USAQUEN,0,0
66d86d08ceda690e8550d05d,1500000000.0,138.0,3,4,750000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,8250000.0,1,CHAPINERO,0,0
66d86d08ceda690e8550d063,315000000.0,50.0,1,2,386000,1,NIZA ALHAMBRA,5,ENTRE 5 Y 10 ANOS,USADO,2114000.0,0,SUBA,1,0
66d86d09ceda690e8550d068,1500000000.0,138.0,3,4,750000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,7250000.0,1,CHAPINERO,0,0
66d86d0aceda690e8550d0f0,980000000.0,101.0,2,3,,2,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,5700000.0,0,CHAPINERO,0,0
66d86d0bceda690e8550d10a,990000000.0,111.0,2,4,990000,2,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,5749000.0,0,CHAPINERO,0,1
66d86d0bceda690e8550d11b,4150000.0,164.5,3,2,650000,2,COUNTRY,6,MAS DE 20 ANOS,USADO,4550000.0,0,USAQUEN,0,0
66d86d0bceda690e8550d148,1350000000.0,149.0,3,3,762000,2,CHICO,6,MAS DE 20 ANOS,USADO,6900000.0,0,CHAPINERO,0,1
66d86d0bceda690e8550d149,497000000.0,70.0,1,2,400000,1,CHICO,5,ENTRE 0 Y 5 ANOS,USADO,3700000.0,0,CHAPINERO,1,1
66d86d0cceda690e8550d18f,2700000000.0,320.0,3,3,1500000,3,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,12000000.0,1,CHAPINERO,0,1
66d86d0cceda690e8550d19e,650000000.0,83.3,2,2,700000,2,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,4500000.0,1,CHAPINERO,1,0
66d86d0fceda690e8550d256,500000000.0,93.0,2,3,880000,0,,4,ENTRE 10 Y 20 ANOS,USADO,3000000.0,0,CHAPINERO,0,0
66d86d10ceda690e8550d2a9,450000000.0,50.0,1,1,580000,2,CHICO,6,MAS DE 20 ANOS,USADO,4500000.0,1,CHAPINERO,0,0
66d86d11ceda690e8550d2f9,1100000000.0,176.0,3,5,660000,2,COUNTRY,6,ENTRE 10 Y 20 ANOS,USADO,4900000.0,1,USAQUEN,0,0
66d86d11ceda690e8550d303,1250000000.0,220.0,4,4,,3,SANTA BARBARA,6,ENTRE 10 Y 20 ANOS,USADO,5970000.0,1,USAQUEN,0,0
66d86d11ceda690e8550d304,2300000000.0,250.0,3,4,1350000,3,CHICO,5,REMODELADO,USADO,11500000.0,0,CHAPINERO,0,0
66d86d11ceda690e8550d327,2550000000.0,284.0,3,4,1850000,3,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,9000000.0,1,CHAPINERO,0,0
66d86d11ceda690e8550d32f,220000000.0,30.0,1,1,,0,,3,ENTRE 0 Y 5 ANOS,USADO,1390000.0,0,ENGATIVA,1,0
66d86d11ceda690e8550d337,500000000.0,74.0,2,2,705000,2,COUNTRY,6,MAS DE 20 ANOS,USADO,4200000.0,1,USAQUEN,0,1
66d86d12ceda690e8550d35d,1400000000.0,200.0,3,3,1000000,2,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,9000000.0,1,CHAPINERO,0,0
66d86d12ceda690e8550d363,1000000000.0,196.0,3,4,1100000,3,SANTA BARBARA,6,ENTRE 10 Y 20 ANOS,USADO,6400000.0,1,USAQUEN,1,0
66d86d12ceda690e8550d36f,2200000000.0,263.0,3,3,1300000,3,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,10000000.0,0,CHAPINERO,0,0
66d86d14ceda690e8550d3e7,2300000000.0,130.0,2,3,,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,12720000.0,0,CHAPINERO,0,1
66d86d17ceda690e8550d4e7,1090000000.0,143.0,3,3,,3,CHICO,6,MAS DE 20 ANOS,USADO,5435000.0,0,CHAPINERO,0,0
66d86d1eceda690e8550d70b,2800000000.0,297.0,3,4,1300000,3,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,13200000.0,1,CHAPINERO,0,0
66d86d1eceda690e8550d731,2470000000.0,164.0,3,3,1200000,3,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,11000000.0,0,CHAPINERO,0,1
66d86d20ceda690e8550d7a3,1250000000.0,157.0,3,4,1500000,3,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,7000000.0,1,CHAPINERO,1,0
66d86d20ceda690e8550d7dc,1600000000.0,147.0,3,3,850000,2,CHICO,5,ENTRE 5 Y 10 ANOS,USADO,3500000.0,0,CHAPINERO,1,1
66d86d25ceda690e8550d92f,330000000.0,70.0,3,2,215000,2,ORQUIDEAS,4,MAS DE 20 ANOS,USADO,1500000.0,0,USAQUEN,0,1
66d86d25ceda690e8550d957,1250000000.0,160.0,3,4,990000,2,CHICO,6,MAS DE 20 ANOS,USADO,7000000.0,1,CHAPINERO,0,0
66d86d28ceda690e8550da2c,1350000000.0,182.0,3,3,900000,2,CHICO,5,ENTRE 5 Y 10 ANOS,USADO,9000000.0,1,CHAPINERO,1,1
66d86d29ceda690e8550da44,500000000.0,101.47,2,2,857000,2,,4,MAS DE 20 ANOS,USADO,2643000.0,1,USAQUEN,0,0
66d86d29ceda690e8550da80,580000000.0,73.0,1,2,620000,2,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,2780000.0,0,CHAPINERO,0,0
66d86d2aceda690e8550da8f,780000000.0,147.0,3,5,570000,2,SANTA BARBARA,6,ENTRE 5 Y 10 ANOS,USADO,5000000.0,0,USAQUEN,1,0
66d86d2eceda690e8550dbb7,2500000000.0,247.0,3,4,1200000,3,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,14000000.0,1,CHAPINERO,0,0
66d86d30ceda690e8550dc84,170000000.0,43.0,2,1,96000,0,ALTOS DE SUBA Y CERROS DE SAN JORGE,2,ENTRE 10 Y 20 ANOS,USADO,900000.0,1,SUBA,0,1
66d86d32ceda690e8550dd1b,780000000.0,130.0,3,4,530000,2,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,5500000.0,1,CHAPINERO,1,0
66d86d33ceda690e8550dd26,580000000.0,93.0,3,3,900000,2,NIZA ALHAMBRA,5,MAS DE 20 ANOS,USADO,3800000.0,0,SUBA,0,0
66d86d33ceda690e8550dd40,499000000.0,105.0,3,2,454400,2,CEDRITOS,4,MAS DE 20 ANOS,USADO,2300000.0,1,USAQUEN,0,0
66d86d33ceda690e8550dd5e,1600000000.0,210.0,3,4,1200000,2,CHICO,6,,USADO,8000000.0,1,CHAPINERO,0,0
66d86d34ceda690e8550dd71,1600000000.0,128.0,2,2,800000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,9200000.0,1,CHAPINERO,0,0
66d86d34ceda690e8550dd72,800000000.0,164.0,3,5,480000,2,COLINA Y ALREDEDORES,5,ENTRE 10 Y 20 ANOS,USADO,5500000.0,0,SUBA,0,0
66d86d36ceda690e8550de0a,1200000000.0,128.0,3,4,,2,SANTA BARBARA,6,ENTRE 0 Y 5 ANOS,USADO,5500000.0,0,USAQUEN,0,0
66d86d36ceda690e8550de21,6000000000.0,287.0,3,4,2660000,4,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,30000000.0,1,CHAPINERO,0,0
66d86d3aceda690e8550df41,2000000000.0,280.0,3,3,1500000,3,COUNTRY,6,MAS DE 20 ANOS,USADO,8000000.0,0,USAQUEN,0,0
66d86d3eceda690e8550e05d,2450000000.0,350.0,4,5,1230000,3,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,15000000.0,0,CHAPINERO,0,0
66d86d3fceda690e8550e0b9,1350000000.0,130.0,2,3,950000,2,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,5500000.0,1,CHAPINERO,0,0
66d86d42ceda690e8550e169,1400000000.0,170.0,3,4,1500000,3,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,8500000.0,0,CHAPINERO,0,0
66d86d46ceda690e8550e27d,890000000.0,106.0,2,3,1080000,2,CHICO,6,ENTRE 5 Y 10 ANOS,USADO,4500000.0,0,CHAPINERO,0,0
66d86d48ceda690e8550e315,1600000000.0,200.0,3,3,1000000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,9000000.0,1,CHAPINERO,0,1
66d86d48ceda690e8550e328,10500000.0,200.0,3,4,,2,,6,MAS DE 20 ANOS,USADO,10500000.0,0,CHAPINERO,0,1
66d86d49ceda690e8550e382,1700000000.0,207.0,3,5,2000000,3,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,8500000.0,0,CHAPINERO,0,0
66d86d4bceda690e8550e3ff,920000000.0,80.0,2,3,620000,2,CHICO,6,ENTRE 10 Y 20 ANOS,USADO,4100000.0,1,CHAPINERO,0,1
66d86d4cceda690e8550e451,900000000.0,110.0,2,2,500000,2,CHICO,6,ENTRE 0 Y 5 ANOS,USADO,6200000.0,1,CHAPINERO,0,0
66d86d4dceda690e8550e46e,435000000.0,50.0,1,2,480000,1,CHAPINERO ALTO,5,ENTRE 10 Y 20 ANOS,USADO,2100000.0,0,CHAPINERO,1,0
66d86d4eceda690e8550e4ac,3700000000.0,424.0,4,4,,4,SANTA BARBARA,6,ENTRE 0 Y 5 ANOS,USADO,16000000.0,0,USAQUEN,0,0
66d86d4fceda690e8550e4e9,4630000.0,184.0,3,2,670000,2,COUNTRY,6,MAS DE 20 ANOS,USADO,4630000.0,0,USAQUEN,0,0
